               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10071,            0.051715,            0.041169,             0.86409,            0.067196,            0.040462,            0.010299,            0.075305,            0.042455,            0.030035,            0.070566,           0.0032704,           0.0032704
                   1,            0.078223,            0.048731,            0.027555,              0.6591,             0.26804,             0.13252,            0.040593,            0.069586,            0.033638,            0.024877,            0.040435,            0.006473,            0.006473
                   2,            0.075348,            0.047625,            0.024701,               0.434,             0.32102,             0.14781,            0.052958,            0.076642,            0.032318,            0.021048,            0.010173,           0.0095436,           0.0095436
                   3,            0.070561,            0.046412,            0.019951,             0.41846,             0.51064,             0.37163,             0.11839,            0.059502,            0.033481,            0.017201,            0.009406,            0.009406,            0.009406
                   4,            0.063901,            0.045586,            0.017322,             0.51061,             0.39645,             0.37133,             0.13321,            0.058776,            0.032563,            0.015496,            0.009406,            0.009406,            0.009406
                   5,            0.061124,            0.048274,            0.015089,              0.5523,             0.44483,             0.41674,             0.16164,            0.052711,              0.0322,            0.014582,            0.009208,            0.009208,            0.009208
                   6,            0.058867,            0.045889,            0.014282,              0.6436,             0.50235,              0.4419,             0.17155,            0.052627,             0.03336,            0.014476,             0.00901,             0.00901,             0.00901
                   7,            0.057713,            0.046269,            0.013372,             0.66103,             0.41366,             0.43728,             0.18238,             0.05119,            0.032163,              0.0133,            0.008812,            0.008812,            0.008812
                   8,            0.056039,            0.044766,            0.012629,             0.59731,             0.52164,             0.48945,             0.19646,            0.050717,            0.031436,            0.012647,            0.008614,            0.008614,            0.008614
                   9,            0.055463,             0.04402,            0.012118,             0.70726,             0.43642,             0.49211,             0.21299,            0.049521,            0.032722,            0.012998,            0.008416,            0.008416,            0.008416
                  10,            0.053362,            0.043978,            0.011307,             0.69252,             0.50823,             0.51571,             0.21677,            0.050842,            0.032292,            0.013907,            0.008218,            0.008218,            0.008218
                  11,            0.053469,            0.045453,            0.011096,             0.75545,             0.50321,             0.55374,             0.25026,            0.047648,            0.031404,            0.011147,             0.00802,             0.00802,             0.00802
                  12,            0.052573,            0.043934,            0.010203,             0.75781,             0.52546,             0.52207,             0.22997,            0.048317,            0.031646,            0.011992,            0.007822,            0.007822,            0.007822
                  13,            0.051787,            0.043393,            0.010304,             0.79374,             0.48585,             0.50757,             0.22918,            0.048996,            0.032176,            0.010953,            0.007624,            0.007624,            0.007624
                  14,            0.050521,            0.044305,            0.010007,             0.76267,             0.48387,             0.54706,             0.24082,            0.048105,            0.031736,            0.011473,            0.007426,            0.007426,            0.007426
                  15,            0.050485,            0.043936,           0.0097353,             0.77913,             0.48856,             0.54911,             0.25083,             0.04839,            0.031622,            0.011213,            0.007228,            0.007228,            0.007228
                  16,            0.049674,            0.042875,           0.0094778,             0.76356,             0.55264,             0.56959,             0.25668,            0.047843,            0.031682,            0.010981,             0.00703,             0.00703,             0.00703
                  17,            0.050331,            0.044482,           0.0094049,             0.53964,             0.62889,             0.58943,             0.27278,            0.047998,            0.032102,            0.011292,            0.006832,            0.006832,            0.006832
                  18,            0.049882,            0.042268,           0.0093346,             0.54903,             0.68863,             0.64052,             0.29175,            0.047469,            0.031241,            0.010804,            0.006634,            0.006634,            0.006634
