               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.049097,            0.041824,           0.0086727,             0.68099,             0.62968,             0.65043,             0.28418,            0.048095,            0.031716,             0.01077,            0.006436,            0.006436,            0.006436
                  20,            0.048347,            0.042557,           0.0085293,             0.68796,             0.70588,             0.71096,             0.32699,            0.046776,             0.03134,            0.010485,            0.006238,            0.006238,            0.006238
                  21,            0.048275,             0.04221,           0.0083214,             0.67098,              0.6627,             0.68726,             0.32286,            0.046557,            0.031388,            0.010182,             0.00604,             0.00604,             0.00604
                  22,            0.048139,            0.043286,           0.0078904,             0.73016,             0.60959,             0.64313,             0.29766,            0.047458,            0.031871,            0.010528,            0.005842,            0.005842,            0.005842
                  23,            0.048352,            0.042586,           0.0080035,              0.7899,             0.57296,             0.65882,             0.30049,            0.046527,            0.031533,            0.010169,            0.005644,            0.005644,            0.005644
                  24,            0.047584,            0.041719,           0.0075543,             0.71729,             0.57739,             0.61321,             0.28493,            0.046759,            0.031811,            0.010514,            0.005446,            0.005446,            0.005446
                  25,            0.046881,            0.041635,           0.0075316,             0.73335,             0.63375,             0.62761,             0.29153,            0.046646,            0.031895,            0.010293,            0.005248,            0.005248,            0.005248
                  26,            0.047692,            0.042591,           0.0072951,             0.67649,             0.58662,             0.62978,             0.30159,            0.046623,            0.032297,           0.0097714,             0.00505,             0.00505,             0.00505
                  27,            0.047131,            0.041848,           0.0067699,             0.79727,             0.63894,              0.6963,             0.31418,            0.046657,            0.031818,           0.0098958,            0.004852,            0.004852,            0.004852
                  28,            0.047213,            0.042837,           0.0064529,             0.77481,             0.64998,             0.67591,             0.32947,             0.04625,            0.032237,           0.0098933,            0.004654,            0.004654,            0.004654
                  29,            0.046021,            0.040602,            0.006543,             0.78649,             0.66075,             0.67799,             0.33337,            0.047009,            0.032099,            0.009739,            0.004456,            0.004456,            0.004456
                  30,               0.046,            0.041493,            0.006696,             0.67219,              0.6721,             0.67463,             0.32732,            0.046601,            0.031919,           0.0094939,            0.004258,            0.004258,            0.004258
                  31,            0.045597,            0.040885,           0.0062145,             0.79544,             0.59846,             0.68951,             0.32813,            0.046642,            0.032242,           0.0098712,             0.00406,             0.00406,             0.00406
                  32,            0.045676,            0.040975,           0.0062361,             0.63653,             0.67789,              0.6697,             0.33044,            0.046911,            0.032152,           0.0096379,            0.003862,            0.003862,            0.003862
                  33,             0.04542,            0.040598,           0.0059192,             0.76868,             0.66274,             0.69723,             0.32746,             0.04602,            0.031991,           0.0098993,            0.003664,            0.003664,            0.003664
                  34,              0.0448,            0.039931,           0.0056116,             0.76974,             0.63754,             0.69946,             0.32303,            0.047386,             0.03224,           0.0099568,            0.003466,            0.003466,            0.003466
                  35,            0.044632,            0.041515,           0.0057178,             0.73153,             0.65182,              0.6966,             0.36171,            0.045948,            0.032104,             0.01023,            0.003268,            0.003268,            0.003268
                  36,            0.044109,            0.040507,           0.0054372,             0.74076,             0.65199,             0.72328,              0.3542,            0.045997,            0.032255,           0.0099212,             0.00307,             0.00307,             0.00307
                  37,            0.043634,            0.040014,           0.0055534,              0.7593,             0.65565,             0.70497,              0.3635,            0.045845,            0.032484,            0.010868,            0.002872,            0.002872,            0.002872
                  38,            0.044207,            0.040888,           0.0054974,             0.78793,             0.66913,             0.72492,             0.37937,            0.046229,            0.032318,            0.010307,            0.002674,            0.002674,            0.002674
                  39,            0.043548,            0.040321,           0.0053858,             0.72444,             0.65762,             0.71039,             0.37357,             0.04532,            0.032178,           0.0099953,            0.002476,            0.002476,            0.002476
                  40,            0.042997,            0.039254,           0.0052934,              0.7595,             0.66066,             0.72583,             0.35079,            0.045893,             0.03258,            0.010334,            0.002278,            0.002278,            0.002278
                  41,            0.043064,            0.040363,           0.0051447,             0.75252,             0.63106,             0.68621,             0.33108,            0.046125,            0.032766,            0.010731,             0.00208,             0.00208,             0.00208
                  42,            0.042309,            0.038654,           0.0051239,              0.7349,             0.65486,             0.69858,              0.3471,            0.045352,            0.032351,            0.010785,            0.001882,            0.001882,            0.001882
                  43,            0.042339,            0.039935,           0.0050066,              0.7307,              0.6781,             0.70818,             0.36287,            0.045453,            0.032419,           0.0098475,            0.001684,            0.001684,            0.001684
                  44,            0.042401,            0.039134,           0.0047512,             0.79605,             0.62615,             0.71504,             0.36698,            0.045376,            0.032422,            0.010245,            0.001486,            0.001486,            0.001486
                  45,            0.042226,            0.038743,           0.0044072,             0.72325,             0.69205,             0.72196,             0.36771,            0.045436,            0.032699,             0.01036,            0.001288,            0.001288,            0.001288
                  46,            0.041425,            0.037761,           0.0047223,             0.74992,             0.67041,             0.71042,             0.37484,            0.044821,            0.032271,             0.01022,             0.00109,             0.00109,             0.00109
                  47,            0.042352,             0.03965,           0.0047797,             0.78605,             0.65363,             0.71771,             0.37335,            0.045233,            0.032423,            0.010106,            0.000892,            0.000892,            0.000892
                  48,            0.041676,            0.039442,           0.0045245,             0.72232,             0.67844,             0.71121,              0.3623,            0.045443,            0.032418,            0.010521,            0.000694,            0.000694,            0.000694
                  49,             0.04118,            0.037705,           0.0043621,             0.70034,             0.68274,             0.70184,              0.3524,            0.045226,            0.032509,            0.010277,            0.000496,            0.000496,            0.000496
