               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.043603,            0.039938,           0.0054552,               0.685,             0.68832,             0.68804,             0.34581,            0.045404,             0.03173,            0.010184,            0.002872,            0.002872,            0.002872
                  38,            0.044097,             0.04084,           0.0054004,             0.76137,             0.68567,             0.69172,             0.34519,            0.045924,            0.031718,            0.010712,            0.002674,            0.002674,            0.002674
                  39,            0.043481,            0.040151,           0.0051993,             0.71684,             0.65603,             0.67135,             0.35283,            0.046058,            0.031986,            0.010821,            0.002476,            0.002476,            0.002476
                  40,            0.042932,            0.039149,           0.0052258,             0.74851,              0.6729,             0.68636,             0.35737,            0.046188,            0.032302,            0.011326,            0.002278,            0.002278,            0.002278
                  41,            0.043016,            0.040253,           0.0050633,             0.71937,             0.61063,             0.68526,             0.34464,            0.046386,             0.03277,            0.011069,             0.00208,             0.00208,             0.00208
                  42,            0.042322,            0.038523,           0.0049157,              0.6832,             0.68386,              0.6975,             0.36704,            0.045429,            0.031984,            0.011115,            0.001882,            0.001882,            0.001882
                  43,            0.042192,            0.039902,           0.0049839,             0.67985,             0.70209,             0.69013,             0.36503,            0.045681,            0.032247,            0.010817,            0.001684,            0.001684,            0.001684
                  44,             0.04227,            0.038993,            0.004527,             0.64356,             0.71867,             0.69327,             0.37178,            0.045462,            0.032224,            0.011026,            0.001486,            0.001486,            0.001486
                  45,            0.042236,            0.038754,           0.0043446,             0.65913,             0.73232,             0.70211,             0.36099,            0.045696,            0.032187,            0.011328,            0.001288,            0.001288,            0.001288
                  46,            0.041352,             0.03764,           0.0046112,             0.71287,             0.67106,               0.699,              0.3852,            0.044951,            0.032001,            0.011487,             0.00109,             0.00109,             0.00109
                  47,            0.042305,            0.039557,           0.0046291,             0.65849,             0.70787,             0.69071,             0.37079,             0.04558,            0.032144,            0.010972,            0.000892,            0.000892,            0.000892
                  48,            0.041636,            0.039348,           0.0044408,             0.69081,             0.68742,             0.68969,             0.35757,            0.045496,            0.032002,            0.011442,            0.000694,            0.000694,            0.000694
                  49,            0.041089,            0.037618,           0.0043208,             0.70098,             0.70195,             0.69847,              0.3743,            0.045178,            0.032044,            0.010966,            0.000496,            0.000496,            0.000496
